Serial No,Timestamp,Temperature,Humidity,latitude,longitude
1392932766,2014/02/21 03:16:06,21.6,75,13.00361,77.61818
1392933075,2014/02/21 03:21:15,21.6,75,13.00361,77.61818
1392933382,2014/02/21 03:26:22,21.5,75,13.00361,77.61818
1392933690,2014/02/21 03:31:30,21.5,75,13.00361,77.61818
1392933997,2014/02/21 03:36:37,21.5,75,13.00361,77.61818
1392934305,2014/02/21 03:41:45,21.5,76,13.00361,77.61818
1392934613,2014/02/21 03:46:53,21.4,76,13.00361,77.61818
1392934920,2014/02/21 03:52:00,21.4,76,13.00361,77.61818
1392935228,2014/02/21 03:57:08,21.4,76,13.00361,77.61818
1392935534,2014/02/21 04:02:14,21.4,76,13.00361,77.61818
1392935842,2014/02/21 04:07:22,21.4,76,13.00361,77.61818
1392936151,2014/02/21 04:12:31,21.4,76,13.00361,77.61818
1392936407,2014/02/21 04:16:47,21.4,76,13.00361,77.61818
1392936715,2014/02/21 04:21:55,21.4,76,13.00361,77.61818
1392937022,2014/02/21 04:27:02,21.4,76,13.00361,77.61818
1392937330,2014/02/21 04:32:10,21.3,76,13.00361,77.61818
1392937637,2014/02/21 04:37:17,21.3,76,13.00361,77.61818
1392937945,2014/02/21 04:42:25,21.3,76,13.00361,77.61818
1392938253,2014/02/21 04:47:33,21.2,76,13.00361,77.61818
1392938560,2014/02/21 04:52:40,21.2,76,13.00361,77.61818
1392938868,2014/02/21 04:57:48,21.2,76,13.00361,77.61818
1392939176,2014/02/21 05:02:56,21.2,76,13.00361,77.61818
1392939483,2014/02/21 05:08:03,21.2,76,13.00361,77.61818
1392939791,2014/02/21 05:13:11,21.2,76,13.00361,77.61818
1392940047,2014/02/21 05:17:27,21.1,76,13.00361,77.61818
1392940354,2014/02/21 05:22:34,21.1,76,13.00361,77.61818
1392940661,2014/02/21 05:27:41,21,76,13.00361,77.61818
1392940969,2014/02/21 05:32:49,21,76,13.00361,77.61818
1392941277,2014/02/21 05:37:57,21,76,13.00361,77.61818
1392941584,2014/02/21 05:43:04,20.9,76,13.00361,77.61818
1392941892,2014/02/21 05:48:12,20.9,76,13.00361,77.61818
1392942199,2014/02/21 05:53:19,20.9,77,13.00361,77.61818
1392942507,2014/02/21 05:58:27,20.9,77,13.00361,77.61818
1392942815,2014/02/21 06:03:35,20.8,77,13.00361,77.61818
1392943122,2014/02/21 06:08:42,20.7,77,13.00361,77.61818
1392943430,2014/02/21 06:13:50,20.7,77,13.00361,77.61818
1392943686,2014/02/21 06:18:06,20.7,77,13.00361,77.61818
1392943994,2014/02/21 06:23:14,20.7,77,13.00361,77.61818
1392944302,2014/02/21 06:28:22,20.7,77,13.00361,77.61818
1392944609,2014/02/21 06:33:29,20.7,77,13.00361,77.61818
1392944917,2014/02/21 06:38:37,20.7,77,13.00361,77.61818
1392945224,2014/02/21 06:43:44,20.6,77,13.00361,77.61818
1392945532,2014/02/21 06:48:52,20.6,77,13.00361,77.61818
1392945840,2014/02/21 06:54:00,20.6,78,13.00361,77.61818
1392946147,2014/02/21 06:59:07,20.6,78,13.00361,77.61818
1392946455,2014/02/21 07:04:15,20.6,78,13.00361,77.61818
1392946762,2014/02/21 07:09:22,20.6,78,13.00361,77.61818
1392947070,2014/02/21 07:14:30,20.6,78,13.00361,77.61818
1392947326,2014/02/21 07:18:46,20.5,78,13.00361,77.61818
1392947633,2014/02/21 07:23:53,20.5,78,13.00361,77.61818
1392947941,2014/02/21 07:29:01,20.5,78,13.00361,77.61818
1392948249,2014/02/21 07:34:09,20.5,78,13.00361,77.61818
1392948557,2014/02/21 07:39:17,20.6,78,13.00361,77.61818
1392948864,2014/02/21 07:44:24,20.6,78,13.00361,77.61818
1392949171,2014/02/21 07:49:31,20.6,78,13.00361,77.61818
1392949480,2014/02/21 07:54:40,20.6,78,13.00361,77.61818
1392949787,2014/02/21 07:59:47,20.7,78,13.00361,77.61818
1392950094,2014/02/21 08:04:54,20.8,78,13.00361,77.61818
1392950402,2014/02/21 08:10:02,20.9,78,13.00361,77.61818
1392950709,2014/02/21 08:15:09,21,78,13.00361,77.61818
1392950966,2014/02/21 08:19:26,21.1,78,13.00361,77.61818
1392951273,2014/02/21 08:24:33,21.1,78,13.00361,77.61818
1392951581,2014/02/21 08:29:41,21.2,78,13.00361,77.61818
1392951888,2014/02/21 08:34:48,21.3,77,13.00361,77.61818
1392952196,2014/02/21 08:39:56,21.4,77,13.00361,77.61818
1392952504,2014/02/21 08:45:04,21.5,77,13.00361,77.61818
1392952811,2014/02/21 08:50:11,21.6,77,13.00361,77.61818
1392953119,2014/02/21 08:55:19,21.7,77,13.00361,77.61818
1392953428,2014/02/21 09:00:28,21.8,76,13.00361,77.61818
1392953735,2014/02/21 09:05:35,21.9,76,13.00361,77.61818
1392954042,2014/02/21 09:10:42,22,76,13.00361,77.61818
1392954093,2014/02/21 09:11:33,22,76,13.00361,77.61818
1392954401,2014/02/21 09:16:41,22.1,76,13.00361,77.61818
1392954708,2014/02/21 09:21:48,22.1,76,13.00361,77.61818
1392955016,2014/02/21 09:26:56,22.2,75,13.00361,77.61818
1392955323,2014/02/21 09:32:03,22.3,75,13.00361,77.61818
1392955631,2014/02/21 09:37:11,22.3,75,13.00361,77.61818
1392955785,2014/02/21 09:39:45,22.4,75,13.00361,77.61818
1392956092,2014/02/21 09:44:52,22.4,75,13.00361,77.61818
1392956399,2014/02/21 09:49:59,22.5,74,13.00361,77.61818
1392956708,2014/02/21 09:55:08,22.5,74,13.00361,77.61818
1392957015,2014/02/21 10:00:15,22.6,74,13.00361,77.61818
1392957320,2014/02/21 10:05:20,22.6,75,13.00361,77.61818
1392957628,2014/02/21 10:10:28,22.7,74,13.00361,77.61818
1392957937,2014/02/21 10:15:37,22.8,74,13.00361,77.61818
1392958245,2014/02/21 10:20:45,22.8,74,13.00361,77.61818
1392958552,2014/02/21 10:25:52,22.9,74,13.00361,77.61818
1392958860,2014/02/21 10:31:00,23,74,13.00361,77.61818
1392959115,2014/02/21 10:35:15,23,73,13.00361,77.61818
1392959423,2014/02/21 10:40:23,23.1,73,13.00361,77.61818
1392959733,2014/02/21 10:45:33,23.2,73,13.00361,77.61818
1392960040,2014/02/21 10:50:40,23.2,73,13.00361,77.61818
1392960347,2014/02/21 10:55:47,23.3,72,13.00361,77.61818
1392960655,2014/02/21 11:00:55,23.3,72,13.00361,77.61818
1392960962,2014/02/21 11:06:02,23.5,72,13.00361,77.61818
1392961270,2014/02/21 11:11:10,23.6,72,13.00361,77.61818
1392961578,2014/02/21 11:16:18,23.6,71,13.00361,77.61818
1392961886,2014/02/21 11:21:26,23.7,71,13.00361,77.61818
1392962193,2014/02/21 11:26:33,23.8,71,13.00361,77.61818
1392962500,2014/02/21 11:31:40,23.9,70,13.00361,77.61818
1392962757,2014/02/21 11:35:57,23.9,70,13.00361,77.61818
1392963064,2014/02/21 11:41:04,24,70,13.00361,77.61818
1392963372,2014/02/21 11:46:12,24.1,70,13.00361,77.61818
1392963679,2014/02/21 11:51:19,24.2,70,13.00361,77.61818
1392963987,2014/02/21 11:56:27,24.3,69,13.00361,77.61818
1392964295,2014/02/21 12:01:35,24.4,69,13.00361,77.61818
1392964602,2014/02/21 12:06:42,24.4,68,13.00361,77.61818
1392964910,2014/02/21 12:11:50,24.4,68,13.00361,77.61818
1392965218,2014/02/21 12:16:58,24.4,68,13.00361,77.61818
1392965525,2014/02/21 12:22:05,24.5,67,13.00361,77.61818
1392965833,2014/02/21 12:27:13,24.6,67,13.00361,77.61818
1392966140,2014/02/21 12:32:20,24.7,67,13.00361,77.61818
1392966448,2014/02/21 12:37:28,24.8,66,13.00361,77.61818
1392966704,2014/02/21 12:41:44,24.8,66,13.00361,77.61818
1392967012,2014/02/21 12:46:52,24.8,66,13.00361,77.61818
1392967320,2014/02/21 12:52:00,24.8,66,13.00361,77.61818
1392967627,2014/02/21 12:57:07,24.8,65,13.00361,77.61818
1392967935,2014/02/21 13:02:15,24.9,66,13.00361,77.61818
1392968242,2014/02/21 13:07:22,25,65,13.00361,77.61818
1392968550,2014/02/21 13:12:30,25.2,64,13.00361,77.61818
1392968858,2014/02/21 13:17:38,25.3,64,13.00361,77.61818
1392969165,2014/02/21 13:22:45,25.4,63,13.00361,77.61818
1392969472,2014/02/21 13:27:52,25.5,63,13.00361,77.61818
1392969779,2014/02/21 13:32:59,25.5,63,13.00361,77.61818
1392970088,2014/02/21 13:38:08,25.6,62,13.00361,77.61818
1392970344,2014/02/21 13:42:24,25.7,61,13.00361,77.61818
1392970651,2014/02/21 13:47:31,25.7,60,13.00361,77.61818
1392970959,2014/02/21 13:52:39,25.8,60,13.00361,77.61818
1392971266,2014/02/21 13:57:46,25.9,60,13.00361,77.61818
1392971574,2014/02/21 14:02:54,26,60,13.00361,77.61818
1392971882,2014/02/21 14:08:02,26,60,13.00361,77.61818
1392972189,2014/02/21 14:13:09,26.1,59,13.00361,77.61818
1392972497,2014/02/21 14:18:17,26.2,59,13.00361,77.61818
1392972804,2014/02/21 14:23:24,26.2,58,13.00361,77.61818
1392973112,2014/02/21 14:28:32,26.3,58,13.00361,77.61818
1392973420,2014/02/21 14:33:40,26.3,58,13.00361,77.61818
1392973676,2014/02/21 14:37:56,26.4,58,13.00361,77.61818
1392973984,2014/02/21 14:43:04,26.4,58,13.00361,77.61818
1392974291,2014/02/21 14:48:11,26.4,57,13.00361,77.61818
1392974599,2014/02/21 14:53:19,26.4,57,13.00361,77.61818
1392974906,2014/02/21 14:58:26,26.5,57,13.00361,77.61818
1392975214,2014/02/21 15:03:34,26.5,57,13.00361,77.61818
1392975522,2014/02/21 15:08:42,26.6,56,13.00361,77.61818
1392975829,2014/02/21 15:13:49,26.7,56,13.00361,77.61818
1392976137,2014/02/21 15:18:57,27,55,13.00361,77.61818
